Name,Source,Population,Yearly Change,Net Change,Density per km2,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
Trinidad and Tobago,https://www.worldometers.info/world-population/trinidad-and-tobago-population/,"1,513,268",0.14%,"2,113",295,"5,130",160,1.52,38.2,49.1%,0.018%
Timor-Leste,https://www.worldometers.info/world-population/timor-leste-population/,"1,436,923",1.3%,"18,406",97,"14,870","−1,695",2.5,22.1,36.7%,0.017%
Cyprus,https://www.worldometers.info/world-population/cyprus-population/,"1,382,334",0.84%,"11,580",150,"9,240","7,210",1.37,39.1,61.1%,0.017%
Estonia,https://www.worldometers.info/world-population/estonia-population/,"1,331,062",−0.98%,"−13,170",31,"42,390",−716,1.38,43.2,67.5%,0.016%
Eswatini,https://www.worldometers.info/world-population/swaziland-population/,"1,269,859",1.09%,"13,685",74,"17,200","−5,493",2.64,22.7,31.7%,0.015%
Mauritius,https://www.worldometers.info/world-population/mauritius-population/,"1,265,059",−0.25%,"−3,221",623,"2,030","−2,679",1.21,38.3,41.8%,0.015%
Djibouti,https://www.worldometers.info/world-population/djibouti-population/,"1,199,459",1.3%,"15,383",52,"23,180",302,2.54,25.2,71.4%,0.014%
Fiji,https://www.worldometers.info/world-population/fiji-population/,"937,282",0.44%,"4,128",51,"18,270","−3,385",2.23,28.3,61.3%,0.011%
Comoros,https://www.worldometers.info/world-population/comoros-population/,"899,010",1.83%,"16,163",483,"1,861","−2,225",3.71,20.7,34%,0.011%
Réunion,https://www.worldometers.info/world-population/reunion-population/,"886,298",0.44%,"3,893",355,"2,500","−2,079",2.12,38.4,–,0.011%
Solomon Islands,https://www.worldometers.info/world-population/solomon-islands-population/,"858,288",2.34%,"19,643",31,"27,990","1,570",3.42,20.9,23%,0.010%
Guyana,https://www.worldometers.info/world-population/guyana-population/,"840,890",0.59%,"4,904",4,"196,850","−4,787",2.35,26.5,26.8%,0.010%
Bhutan,https://www.worldometers.info/world-population/bhutan-population/,"802,214",0.69%,"5,532",21,"38,117",633,1.43,31,51.1%,0.0097%
Macao,https://www.worldometers.info/world-population/china-macao-sar-population/,"723,188",0.16%,"1,181","24,106",30,826,0.7,40.3,98.3%,0.0087%
Luxembourg,https://www.worldometers.info/world-population/luxembourg-population/,"687,448",1.03%,"6,995",265,"2,590","4,938",1.41,39.7,87.4%,0.0083%
Suriname,https://www.worldometers.info/world-population/suriname-population/,"645,256",0.84%,"5,406",4,"156,000",−965,2.19,28.9,62.4%,0.0078%
Montenegro,https://www.worldometers.info/world-population/montenegro-population/,"626,233",−1.03%,"−6,496",47,"13,450","−2,824",1.79,40.4,69.7%,0.0075%
Western Sahara,https://www.worldometers.info/world-population/western-sahara-population/,"610,813",1.65%,"9,909",2,"266,000","4,689",2.13,32.8,97.6%,0.0074%
Malta,https://www.worldometers.info/world-population/malta-population/,"549,011",0.66%,"3,606","1,716",320,"2,157",1.12,41.5,76.2%,0.0066%
Maldives,https://www.worldometers.info/world-population/maldives-population/,"531,517",0.35%,"1,841","1,772",300,"−2,079",1.53,33.4,40.3%,0.0064%
Cabo Verde,https://www.worldometers.info/world-population/cabo-verde-population/,"529,630",0.44%,"2,304",131,"4,030","−1,338",1.49,29.5,79.6%,0.0064%
Brunei,https://www.worldometers.info/world-population/brunei-darussalam-population/,"469,775",0.74%,"3,445",89,"5,270",8,1.7,33.2,80.6%,0.0057%
Belize,https://www.worldometers.info/world-population/belize-population/,"428,644",1.35%,"5,720",19,"22,810",392,1.99,27.3,49%,0.0052%
Bahamas,https://www.worldometers.info/world-population/bahamas-population/,"404,628",0.4%,"1,595",40,"10,010",902,1.36,35.7,88.9%,0.0049%
Iceland,https://www.worldometers.info/world-population/iceland-population/,"402,329",1.02%,"4,063",4,"100,250","2,027",1.49,36.6,83.7%,0.0048%
Guadeloupe,https://www.worldometers.info/world-population/guadeloupe-population/,"372,453",−0.36%,"−1,338",220,"1,690","−1,442",2.04,47.4,–,0.0045%
Mayotte,https://www.worldometers.info/world-population/mayotte-population/,"347,536",3.12%,"10,525",927,375,−2,4.43,17.3,41.1%,0.0042%
Vanuatu,https://www.worldometers.info/world-population/vanuatu-population/,"342,564",2.21%,"7,395",28,"12,190",−113,3.5,20.3,25.5%,0.0041%
Martinique,https://www.worldometers.info/world-population/martinique-population/,"337,711",−0.8%,"−2,728",319,"1,060","−2,264",1.95,50.2,–,0.0041%
French Guiana,https://www.worldometers.info/world-population/french-guiana-population/,"318,872",1.66%,"5,206",4,"82,200",−765,3.25,24.9,95.2%,0.0038%
New Caledonia,https://www.worldometers.info/world-population/new-caledonia-population/,"297,892",0.87%,"2,559",16,"18,280",348,1.93,34.8,76.3%,0.0036%
French Polynesia,https://www.worldometers.info/world-population/french-polynesia-population/,"283,076",0.22%,611,77,"3,660","−1,158",1.47,36.7,66.3%,0.0034%
Barbados,https://www.worldometers.info/world-population/barbados-population/,"282,724",0.04%,101,657,430,−98,1.71,39.7,32.7%,0.0034%
Sao Tome & Principe,https://www.worldometers.info/world-population/sao-tome-and-principe-population/,"244,994",1.97%,"4,740",255,960,−691,3.47,19.7,78.9%,0.0030%
Samoa,https://www.worldometers.info/world-population/samoa-population/,"220,528",0.56%,"1,222",78,"2,830","−2,792",3.7,19.8,16.3%,0.0027%
Curaçao,https://www.worldometers.info/world-population/curacao-population/,"185,440",−0.03%,−47,418,444,462,1.07,39,81.2%,0.0022%
Saint Lucia,https://www.worldometers.info/world-population/saint-lucia-population/,"180,488",0.19%,339,296,610,−49,1.37,35.1,20.1%,0.0022%
Guam,https://www.worldometers.info/world-population/guam-population/,"170,185",0.7%,"1,186",315,540,−471,2.68,31.6,98.9%,0.0021%
Kiribati,https://www.worldometers.info/world-population/kiribati-population/,"138,445",1.43%,"1,957",171,810,−441,3.06,23,57.9%,0.0017%
Seychelles,https://www.worldometers.info/world-population/seychelles-population/,"134,959",1.64%,"2,180",293,460,"1,367",2.06,34.6,43.4%,0.0016%
Grenada,https://www.worldometers.info/world-population/grenada-population/,"117,362",0.05%,59,345,340,−199,1.45,34.9,35.8%,0.0014%
Micronesia,https://www.worldometers.info/world-population/micronesia-population/,"114,183",0.44%,500,163,700,–,–,–,23.8%,0.0014%
